,result,alpha,beta_1,batch_size,lambda,early_stopping,optimization,decay
74,0.9781250000000001,0.04655505081168464,0.02537448243772168,16,0.75,True,,False
75,0.9803125000000001,0.039422686646896056,0.033827762897046476,64,1.0,False,momentum,False
76,0.9846875,0.004877032791530789,0.09507536725621887,64,0.0,False,adam,True
77,0.9806250000000001,0.06539969255872602,0.05284379586068613,1024,0.5,False,,False
78,0.9812500000000002,0.03698661667774409,0.05820314335401534,512,1.0,False,rmsprop,False
79,0.98125,0.07138557601491415,0.08795944140318537,512,0.75,False,,False
80,0.9781250000000001,0.028347766110577665,0.07026166552455125,32,1.0,False,momentum,False
81,0.9803125000000001,0.008800106964212902,0.09339882847528203,256,0.5,False,,False
82,0.978125,0.03809905714013341,0.08483468777887841,1024,0.0,False,rmsprop,False
83,0.9796875000000002,0.04098036623410221,0.037847532143480404,1024,0.25,False,,True
84,0.9840625,0.08512936925879858,0.09112579574884011,128,1.0,False,momentum,True
85,0.9859375,0.08334636495221724,0.07882593545826125,512,0.75,True,adam,True
86,0.9824999999999999,0.03528539987831386,0.08495597825186851,128,1.0,False,,True
87,0.9850000000000001,0.07564684630660007,0.03303587136474913,512,0.25,False,rmsprop,True
88,0.9875,0.08645288186956089,0.04917588030655879,256,0.0,False,adam,False
89,0.9875,0.04765296818251472,0.00363549658904408,128,0.0,False,,False
90,0.9781250000000001,0.036074437586497844,0.041504927848391986,16,0.5,False,rmsprop,True
91,0.9793750000000001,0.011964364840294029,0.015321056117045206,32,0.75,True,rmsprop,True
92,0.91875,0.008222849901679848,0.07048116111964209,1024,0.0,True,,True
93,0.9818750000000002,0.07724570806830958,0.00446729509320402,16,1.0,False,,False
94,0.951875,0.08276702305633672,0.08711184774519584,1,1.0,False,,False
95,0.9781250000000001,0.00821716519027187,0.08905290334678433,16,1.0,False,,False
96,0.9871875000000001,0.05500669703090963,0.0121314016987915,128,0.25,True,rmsprop,True
97,0.9875,0.09915244731844802,0.0022386339205264995,32,0.0,False,,True
98,0.9781250000000001,0.021854408459670453,0.09842307213348749,1,0.25,True,adam,True
99,0.9843750000000002,0.058528113053056996,0.0386055711159932,256,0.75,False,adam,True
